t=2025-08-10T02:24:45+0300 lvl=info msg="open config file" path=/Users/antonparfenov/tg-money-miniapp/ngrok.yml err=nil
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=1124b8b6d57a l=[::1]:5173 r=95.25.228.116:24148
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=4e35d69c1ea5 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:05+0300 lvl=info msg="join connections" obj=join id=cbd3c2abec5d l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=86ff5aa5aa0f l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=22fbf483ffa6 l=[::1]:3001 r=95.25.228.116:23379
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=f3d0ce513123 l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=69c3b78ab58d l=[::1]:3001 r=95.25.228.116:24662
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=c8fa299b0312 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:34:08+0300 lvl=info msg="join connections" obj=join id=e97717c69414 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=545b836bc10e l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=3b89d234c555 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=d38868d0bcdc l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=762253eed075 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=d3151b805f0f l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=8942fa5d8491 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=eb3903d7dcdc l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=7035880b9627 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=6f1901a13d84 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=180e476e54fa l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=6dfc32939756 l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=b59b1041be2a l=[::1]:5173 r=95.25.228.116:24663
t=2025-08-10T02:35:05+0300 lvl=info msg="join connections" obj=join id=256ad343c577 l=[::1]:5173 r=95.25.228.116:24663
